operation;value;success;time_ns;operations
delete;87312;true;37600;1397
delete;55038;true;10500;793
delete;98241;true;42000;3655
delete;52128;true;2400;205
delete;75985;true;28700;2615
delete;12962;true;27500;2679
delete;75909;true;43800;2597
delete;41205;true;36200;153
delete;67722;true;10300;919
delete;11325;true;25100;2327
delete;13049;true;27400;2701
delete;65264;true;4300;397
delete;10145;true;23100;2081
delete;97494;true;39900;3499
delete;7147;true;14800;1481
delete;31559;true;1900;121
delete;72022;true;18100;1725
delete;750;true;1900;171
delete;78645;true;32200;3119
delete;26635;true;1900;101
delete;40941;true;1800;113
delete;39018;true;2600;121
delete;30311;true;1700;51
delete;54160;true;12600;609
delete;83540;true;6900;591
delete;16920;true;38200;3405
delete;4801;true;10700;1013
delete;21834;true;45300;4427
delete;38551;true;900;47
delete;53696;true;5700;503
delete;4001;true;8700;829
delete;96721;true;35500;3347
delete;74635;true;23200;2293
delete;15940;true;31400;3189
delete;19709;true;45500;3959
delete;7227;true;15100;1497
delete;1249;true;3000;295
delete;89452;true;19100;1823
delete;88676;true;33900;1675
delete;2299;true;5200;467
delete;53784;true;6700;535
delete;66270;true;7900;605
delete;22052;true;800;23
delete;16492;true;35700;3319
delete;43589;true;2700;199
delete;27922;true;2000;129
delete;91897;true;27200;2305
delete;5639;true;12900;1175
delete;30736;true;700;19
delete;85720;true;12100;1063
delete;65933;true;5300;533
delete;12601;true;28100;2611
delete;23051;true;3500;237
delete;72486;true;21300;1855
delete;16183;true;33600;3247
